,VIN,Market_Value_Mean,Market_Value_Std,Count
380,JTEBU5JR8F5265103,31906.38,4485,4433
381,WDDPK7FAXFF098435,46734.79,8079,9
382,ZAMBC38A020007575,24851.07,3858,20
383,5TFCZ5AN9HX061876,35094.37,4144,10880
384,JH4DC53032C026142,8434.77,1935,16
385,WDDGF54X18F081817,9080.21,1861,1012
386,WDDZF8KB3JA333216,95184.19,14359,339
387,WBAAA1309J4141028,12250.05,5303,2
388,1FACP44E0PF203957,17423.01,4974,34
389,JT8CH32Y2X1002233,14428.0,2760,5
390,WBSCL93421LJ80744,28973.43,4708,15
391,JT2SW21N9N0015089,7500.26,2828,2
392,JTHBD192640081419,9381.28,2559,70
393,JM1NA3517M0232462,9707.44,2687,60
394,JM1NA3539V0737535,9329.84,2283,30
395,5YJSA1DP8CFS00861,36177.35,4574,69
396,SALWR2TF0FA612593,42368.45,5897,381
397,WDDTG5CB7GJ245021,37861.15,3279,70
398,JM1NB3539Y0141729,9688.49,2105,110
399,WBAHL83537DT89278,9058.17,2001,40
400,1FMDE5BH5MLA98980,69492.0,7768,2
401,WP1AB29P54LA66542,8809.22,1992,137
402,JHMBA4250LC007473,20291.7,4193,3
403,WBAUU3C55AA544811,11155.23,2345,20
404,WAULA84A2SN121742,22880.0,0,1
405,ZAMBB18A420006193,25233.98,5708,18
406,JM1NB3535X0125266,9294.29,2381,184
407,1FA6P8SJ0L5504961,42855.47,4839,3694
408,1C4AJWAG8DL644804,22674.61,3170,2762
409,2C3CDZC97GH136636,57443.8,6655,1184
410,WDBSK72F77F125175,34175.75,6354,43
411,JN8DR09Y81W573876,4631.84,1210,133
412,JM1BL1H34A1303475,7928.32,1933,1628
413,1FA6P8CF3K5132072,40577.63,4492,4538
414,WBABN33441JW49593,6091.88,1505,76
415,4JGED6EB5KA155563,61806.25,12868,2311
416,WBALM735X9E165181,24704.29,5495,86
417,JN1AR5EF7AM230507,70936.84,9355,90
418,WBSBG9337XEY81669,18065.14,4662,65
419,SAJEA03V231M76860,8325.87,2480,10
420,WBADN63481GM71162,9759.82,2539,13
421,WP0AA29938S711142,47470.34,9324,47
422,WBS2U7C03L7D96580,67198.21,5302,350
423,1G4BN52P7RR431151,7292.63,2103,5
424,WBAUC73599VK80233,14732.61,3035,116
425,ZARBAAB49LM362519,94070.0,16984,11
426,JN1CZ04S4BX600239,15657.75,3953,10
427,WAUSFAFL9BA053045,12217.74,2324,177
428,JT6HT00W7Y0108827,12915.13,2964,103
429,1FTFW1RG1HFA66984,56794.12,6857,2146
430,WP0CA29976S755778,46655.61,8749,178
431,JN1AZ4EH1AM505557,20998.08,4265,365
432,SAJWA4HA9DMB50025,66096.0,13252,7
433,WDBNG76J06A462697,15757.0,4013,5
434,1G1YY22P6R5120010,13798.4,2918,112
435,5YJ3E1EB9JF066919,46433.81,4352,3544
436,WBA4B1C5XGG242074,28821.59,3150,165
437,1G1YY32G9W5128149,17323.78,3369,389
438,KMHHU6KH7CU068141,14848.04,3056,141
439,JM1FD3337R0302923,59993.25,23034,4
440,WBALZ3C59CDL71406,27321.64,4897,612
441,4JGBB7HB9AA557286,20927.49,3812,14
442,JM1NB353230313074,10688.66,2645,176
443,WBACE51060EN65119,12249.64,848,2
444,WDDGF7HB6EA943772,40912.05,7277,61
445,2G1FL1EP7D9806886,41726.77,5285,436
446,WBS4Y9C5XKAG67091,68716.29,6758,291
447,JM1NA3519M1229153,9707.44,2687,60
448,JTHBP262785003600,30746.44,4681,112
449,JM1NDAM74H0106910,28606.49,2945,580
450,1FA6P8CFXH5272211,34884.31,4194,4834
451,1FTEX1E65AFD77037,14437.43,3203,2450
452,4JGCB77E57A037692,34400.0,3535,2
453,5YJXCBE4XGF006591,73679.57,6716,340
454,WBAUT9C55BA189839,12039.76,2010,21
455,WDBRF61J33A521145,5139.17,1045,111
456,SAJWA03V851N30976,8637.36,2428,7
457,TRUUT28NX51001913,12276.77,2207,14
458,WP1AA2A27BLA04849,20162.14,3611,176
459,SCFRMFAV1HGL01826,148640.7,13287,110
460,WP0AA0946DN454690,13486.16,4082,13
461,1G1YY23P9P5103360,14700.13,3557,116
462,JT3FJ60GXD0078982,32293.37,3838,3
463,1FTNW21FXXEC06071,11368.89,3036,518
464,WP1AC29P56LA91666,15036.68,3527,48
465,SAJWA0JC8BMR84883,21081.45,3930,27
466,JT8CH32YXV1000596,7675.88,1618,9
467,TRUB1AFK0C1017356,20728.43,4386,128
468,1FTFW1R61BFD01818,31196.81,5401,390
469,2G1FT1EW9A9110727,22945.24,4694,1890
470,WP0AB29857U782155,32706.63,6081,149
471,WAUCGAFRXEA047507,27391.62,3878,244
472,SAJNV5849HC136604,11036.49,2231,10
473,WBS3C9C52FP805345,47689.06,5822,395
474,WBSKG9C57CE797878,36309.13,7372,150
475,1J4FJ67S9TL256877,4704.09,1255,34
476,1FTSW31P54EC30663,14951.62,3488,641
477,WVWVF7AU0HW101157,34180.66,3522,659
478,WBANN73556CN02305,7379.7,1654,56
479,5YJRE11B481000253,89900.04,56568,2
480,JTJBT20X280151116,17703.69,3729,496
481,JT4VN13DXP5102835,10825.3,3929,11
482,WDDUG7GB8GA258791,69648.94,7313,10
483,1GTW7FCG2F1180117,24771.75,5562,240
484,WAU3GAFC1DN029724,24552.71,4030,605
485,WBSBK0332XEC40538,18065.14,4662,65
486,WAUED54B01N100359,4101.04,948,14
487,WBSDX9C50CE784365,36309.13,7372,150
488,WVWLF7AU5GW087472,31162.6,3561,752
489,1G2PG1196HP216729,11950.08,2448,13
490,WBAEB53529C224187,17708.64,3478,126
491,1GKEK13R2TJ730768,5955.08,1791,12
492,WBADN53401GC98038,9759.82,2539,13
493,1FMDE5BH9MLA74813,69492.0,7768,2
494,SAJWA6GL8EMK01799,45137.79,7001,241
495,WDBJH65F9XA755051,4695.89,877,5
496,WVGMB77L17D013228,6815.73,1032,6
497,WBSPM9C51BE203816,33375.0,6760,466
498,1GCHK23607F538892,18378.35,4960,825
499,WBSBR934X6PK11281,25657.39,5572,101
500,SCFAB42312K403247,35732.41,8362,8
501,JTDFR320930062306,13952.48,3092,115
502,WBS1H9C53HV887142,49879.65,4852,347
503,WBA3A5C58EJ584743,17414.75,3227,1637
504,JTMHY7AJ2A4002788,34900.07,4693,27
505,1ZVFT82H375282745,15750.33,3838,1188
506,WUAAU34208N005352,85374.85,11612,48
507,WDDXJ8GB5KA036366,85449.65,11154,820
508,WBAGN83483DK10577,12928.85,5041,5
509,WAUGU44D02N001790,18992.5,7067,2
510,JF1GR896X8L828678,19055.97,3533,128
511,1J4FJ78S6SL603097,6183.24,1641,8
512,WDBPJ74J34A042832,18267.83,5691,14
513,2MEHM75V13X639318,16198.62,4593,32
514,WMWRE33483TD66218,6172.11,1435,91
515,5YJ3E1EB8KF413478,48262.24,5588,2613
516,WBAHD5320SGB38102,15597.14,3489,6
517,1J4FJ68S2TL280534,4704.09,1255,34
518,4JGAB57E24A475240,5241.21,1190,44
519,WDC0G8JB8JF467136,69814.43,7904,96
520,WBY2Z2C55GV675856,77364.24,7781,189
521,JHMAP11492T002904,26654.54,5609,153
522,ZAMFE39A080039168,19440.94,3729,55
523,WP0CB29896U731801,27146.38,5785,106
524,1GKEC13R2XJ713679,5161.12,1407,87
525,JM1FD3314P0207702,48808.56,15308,26
526,5UXFB93563LN80968,9214.9,1770,10
527,WBADS33443GD50545,7339.38,2247,8
528,19UUA9E58CA000724,14772.7,2915,1177
529,WBABD534X4PD96024,8632.28,2197,163
530,WBAEA53558CV85141,15078.81,3054,256
531,WDBJF74J51B261739,23079.03,7100,9
532,WBSEH93466B797944,22121.12,4008,43
533,JTHHE5BC7F5006672,32283.77,3821,1539
534,JTMCY7AJ3M4103868,109323.2,9749,169
535,WBSNB93548CX10226,23509.35,5348,92
536,W1KZH8KB2MA911692,165666.37,30936,28
537,1ZVHT89S975204450,40069.18,6748,383
538,WBA3K5C58EKT33440,21483.95,4069,102
539,1ZVBP8KZ8E5275556,60717.7,8129,247
540,WBSBL93423JR21243,21332.78,5137,98
541,JF1GR8H6XBL813316,22444.02,3886,291
542,3TMLU4EN1DM109566,25928.73,4036,2428
543,1FMEU15N0PLA55136,24049.56,5821,46
544,1G2FW21HXHN226784,15315.44,3560,11
545,WA1C4AFY5N2029102,68857.34,4675,683
546,JHMAP114X3T000158,27422.12,6289,112
547,JM1NB354140409465,17594.93,3962,35
548,5YJYGDEE6MF061631,67066.89,7382,3031
549,SAJDA15B03MF51125,10094.89,1405,8
550,WP0AB29826U780829,32469.22,5317,203
551,1C4BJWFG3DL565442,30607.96,4281,1126
552,WV2MD070XPH114290,15159.79,4066,13
553,SALMF13487A242293,11480.48,2256,54
554,WDBLK70G6YT038564,7324.02,2146,21
