,VIN,Num_Days,Market_Value_Mean,Market_Value_Std,Count,Count_Over_Days
289,JTEBU5JR3J5500967,236,41038.07,4450,10359,43.894067796610166
290,WBSWL93569P332079,90,28818.33,5557,147,1.6333333333333333
291,WAUB1GFF7H1054103,657,35094.09,3153,275,0.4185692541856925
292,WDDWJ4JB0JF745883,650,33657.08,4538,5322,8.187692307692307
293,5YJ3E1EB2JF096733,117,46433.81,4352,3544,30.29059829059829
294,JN8HD17Y2SW014463,425,3438.23,860,10,0.023529411764705882
295,WBSFV9C5XFD594324,285,48492.0,6591,174,0.6105263157894737
296,1FTFW1R61CFB48200,503,33134.2,5548,550,1.0934393638170974
297,JT6HT00W0Y0118776,279,12915.13,2964,103,0.36917562724014336
301,WBS3R9C54GK337938,90,50327.22,6168,808,8.977777777777778
302,WP0AB298X6U780352,96,32469.22,5317,203,2.1145833333333335
303,WBSBR93494PK06506,131,21848.86,5900,112,0.8549618320610687
304,JF1VA2M63G9801496,160,30906.59,3477,586,3.6625
305,1B3BR65E5RV100585,403,43870.75,9160,34,0.08436724565756824
306,WBSNB93526B584015,280,20989.5,4961,118,0.42142857142857143
307,WUADUAFG9CN002744,180,112169.11,16875,21,0.11666666666666667
308,YS3EH55G923038774,90,7995.33,2828,2,0.022222222222222223
309,WP0CA298XXU624597,90,12951.82,2964,178,1.9777777777777779
310,1FADP3L9XJL332655,535,23905.82,2774,1033,1.9308411214953272
311,WBAEG21090CB01757,756,25944.05,7673,15,0.01984126984126984
312,137ZA9037XE184825,669,91144.75,20068,11,0.016442451420029897
313,SCFFDCBD1BGE02785,599,110370.88,13622,8,0.01335559265442404
314,1G1FJ1R65H0157550,175,59488.47,5526,327,1.8685714285714285
315,WAUDGAFL4FA036780,347,30025.14,4016,313,0.9020172910662824
316,JTHHP5AY7JA001348,90,79901.62,7668,587,6.522222222222222
317,WBAGG8344YDN77056,377,10080.23,2170,5,0.013262599469496022
318,JM1NA3534V0728015,588,9329.84,2283,30,0.05102040816326531
319,WDBFA76E4RF087459,90,23325.16,5013,7,0.07777777777777778
320,JT3HN86R2W0162945,277,6840.81,2040,87,0.3140794223826715
321,WP0AB2A89EK193680,292,57439.31,5741,254,0.8698630136986302
322,6G3F25RW4HL300582,588,50750.67,5023,315,0.5357142857142857
323,WUABWGFF4J1900359,328,59685.89,5396,322,0.9817073170731707
324,JN1AZ34E63T016825,661,11899.35,2908,218,0.329803328290469
325,WDDZH8KB8LA753874,537,139286.71,13967,22,0.040968342644320296
326,SALJY1249TA197728,104,11116.7,4293,3,0.028846153846153848
327,WBAEP33475PE92199,343,6998.85,1579,4,0.011661807580174927
328,SCFAD02A36GB04971,664,50923.48,8712,43,0.06475903614457831
329,ZFFYU51A9Y0121165,165,90194.93,12913,24,0.14545454545454545
330,1FATP8JZ0H5524015,699,79342.23,16230,58,0.08297567954220315
331,WBSNB9C59AC043191,462,32757.63,5847,11,0.023809523809523808
332,JT2MA67L8C0013495,308,18275.7,2880,3,0.00974025974025974
333,WDBUF76J36A865992,101,16675.94,4373,13,0.12871287128712872
334,WDDUG8CB8EA050418,474,40906.76,5365,746,1.5738396624472575
335,WDBDA34D1GF229290,684,32247.55,10256,2,0.0029239766081871343
336,WBAWB73538P042344,90,11906.29,2773,644,7.155555555555556
337,JN1AR5EF8GM290398,196,98088.8,14029,108,0.5510204081632653
338,WP0AA2A83EK170494,759,47068.79,5656,274,0.36100131752305664
339,2G2FV22GX22164251,189,21577.77,5062,74,0.3915343915343915
340,WDBLK74G52T099986,90,10904.89,3429,18,0.2
341,SALE27RU7N2070968,90,84519.38,11705,597,6.633333333333334
342,WP1AB2A59GLB59000,514,40664.07,5121,1021,1.9863813229571985
343,ZARED33R6R6288774,501,13000.0,0,1,0.001996007984031936
344,1FDXE45P15HA15107,151,17895.31,6099,43,0.2847682119205298
345,WA1AWBF73MD037510,90,96154.67,10414,131,1.4555555555555555
346,SAJWJ6BV8H8K37997,299,54855.74,5822,136,0.45484949832775917
347,2FALP74W3SX144488,385,4586.44,1005,9,0.023376623376623377
348,YV4612HM7G1007295,503,23208.6,3776,50,0.09940357852882704
349,WDBBA48D2KA095189,552,31578.95,10200,103,0.18659420289855072
350,SAJWA6ET7H8K36351,354,43747.63,4448,286,0.807909604519774
351,1G6DC8EG8A0117858,482,10740.24,2104,12,0.024896265560165973
352,WP0AB2A80HS285832,752,72396.89,6060,202,0.26861702127659576
353,JTJHY7AX6A4048318,354,30228.39,4135,127,0.3587570621468927
354,2J4FY29T7KJ135585,340,10997.6,2942,4,0.011764705882352941
355,5TFHY5F10EX387107,171,32598.29,4784,922,5.391812865497076
356,1G1YN2DT9B5800508,273,86825.63,13899,51,0.18681318681318682
357,WF0DP3TH9H4119294,313,37789.68,4115,898,2.869009584664537
358,WP0CA29811U627041,90,14688.28,3235,183,2.033333333333333
359,JM1BK34L191241212,378,9674.6,2116,48,0.12698412698412698
360,SALGS2PF7GA303160,439,49650.73,6471,993,2.2619589977220955
361,WAUXL68E65A034709,759,12022.93,4286,9,0.011857707509881422
362,WBSDE93403CF93461,707,37973.51,12339,20,0.028288543140028287
363,JHMBB62401C010077,180,7807.6,1776,13,0.07222222222222222
